タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
">
    【書籍化決定】ちったい俺の巻き込まれ異世界生活
","R15 残酷な描写あり 異世界転移 日常 逆行転生 冒険 ギャグ ほのぼの 男主人公
",108606,1273013,2547,https://ncode.syosetu.com/n7250gn/
"攻略！大ダンジョン時代─俺だけスキルがやたらポエミーなんだけど─
","ギャグ シリアス ほのぼの 男主人公 学園 現代 ハーレム チート 日常 青春 ダンジョン 番外編以降主人公最強 コメディ 書籍化 大ダンジョン時代 残酷な描写あり
",108416,3401447,6803,https://ncode.syosetu.com/n8971hh/
"【書籍化】断頭台に消えた伝説の悪女、二度目の人生ではガリ勉地味眼鏡になって平穏を望む【コミカライズ】
","R15 残酷な描写あり やりなおし 悪女 ヤンデレ？ 眼鏡を外すと美少女 学園もの 同級生 魔法 溺愛 ざまあ ハッピーエンド
",108334,183850,368,https://ncode.syosetu.com/n0744gz/
"仮初め寵妃のプライド　　～皇宮に咲く花は未来を希う～
","ほのぼの ハッピーエンド 身分差 寵妃 連れ子 一途 皇位継承争い ややラブコメ 主従 ひたむき 寵愛 R15 残酷な描写あり
",108330,397722,796,https://ncode.syosetu.com/n7466em/
"【書籍化！】追放勇者の優雅な生活 (スローライフ) ～自由になったら俺だけの最愛天使も手に入った! ～（旧題：おっさん勇者の劣等生！）【コミカライズ決定！】
","R15 残酷な描写あり 追放 ざまぁ 主人公最強 俺TUEEE 男主人公 勘違い 無自覚チート 中世西欧風異世界 天使奴隷 純愛？いちゃらぶ スローライフ ダンジョンマスター 勇者魔王 生産 ポーション
",108254,503919,1008,https://ncode.syosetu.com/n8256gj/
"アルス・ゲーティア～無能と呼ばれた少年は、７２の悪魔を使役して無双する～
","R15 残酷な描写あり オリジナル戦記 悪魔 悪魔召喚 魔術 追放 ざまぁ 主人公最強（予定） 悪魔を使役する 成り上がり ゲーティア 禁術
",108176,194614,390,https://ncode.syosetu.com/n0424hb/
"悪役令嬢、セシリア・シルビィは死にたくないので男装することにした。
","異世界転生 身分差 乙女ゲーム 悪役令嬢 ラブコメ ギャグ ほのぼの シリアス 女主人公 西洋 学園 中世 近世 魔法 男装 三角関係
",108034,567983,1136,https://ncode.syosetu.com/n4679fj/
異世界で始める人生改革    ～貴族編〜,"男主人公 西洋 ハーレム 魔法 青春 異世界 奴隷 転生 支援チート スキル レベル 貴族 R15 残酷な描写あり 異世界転生
",108023,535089,1071,https://ncode.syosetu.com/n6634cu/
冥王様が通るのですよ！,"魔王 魔法 オリジナル戦記 魔物転生 幽霊 進化 魔導 魔術 魔装 戦争 死魔法 ヒロインは一人 主人公最強クラス 暗躍多め R15 残酷な描写あり 異世界転生
",107910,2661976,5324,https://ncode.syosetu.com/n4532en/
"愛が重たい悪役令嬢は婚約者を諦めたい
","ほのぼの 魔法 ハッピーエンド 青春 乙女ゲーム 悪役令嬢 R15 異世界転生
",107848,180905,362,https://ncode.syosetu.com/n9176io/
"最北領の怪物　～借金地獄から始まる富国強兵～
","R15 残酷な描写あり 異世界転生 オリジナル戦記 借金地獄 産業振興 富国強兵 根源力 貴族 騎士爵 生命光石 書籍化
",107834,321171,643,https://ncode.syosetu.com/n9115hi/
"おっさん底辺治癒士と愛娘の辺境ライフ　〜中年男が回復スキルに覚醒して、英雄へ成り上がる〜
","勇者 ハーレム チート 魔法 日常 おっさん 幼女 親子 回復 冒険者 エルフ ドラゴン ドワーフ 料理 R15 残酷な描写あり
",107797,874489,1749,https://ncode.syosetu.com/n9166fw/
"聖女の回復魔法がどう見ても俺の劣化版な件について。
","R15 残酷な描写あり 恋愛 回復魔法 ヒール 聖女 勘違い 3回OVL大賞応募作 ほのぼの 奴隷 ハーレム グロ表現あり 主人公最強 書籍化
",107725,363701,728,https://ncode.syosetu.com/n7298cu/
"【12/27コミック4巻発売】次期公爵夫人の役割だけを求めてきた、氷の薔薇と謳われる旦那様が家庭内ストーカーと化した件【書籍化コミカライズ】
","ハッピーエンド 政略結婚 四次元ポケット 精神無敵ヒロイン 情緒が死んだヒーロー ゆっくり両片思い 異世界転生
",107630,138718,278,https://ncode.syosetu.com/n1276hj/
"俺の家が魔力スポットだった件～住んでいるだけで世界最強～
","ハーレム チート 魔法 ファンタジー 主人公最強 自宅最強 成り上がり 引き籠り ダンジョン制作 精霊 魔物娘 R15 異世界転移
",107395,592984,1186,https://ncode.syosetu.com/n5915da/
"追放者食堂へようこそ！　【書籍第三巻、6/25発売！】
","R15 残酷な描写あり オリジナル戦記 日常 追放 ほのぼの ギャグ 男主人公 西洋 中世 魔法 ハッピーエンド 最強(料理人) 奴隷 ざまぁ
",107388,646216,1293,https://ncode.syosetu.com/n7833fb/
"【第二部開始・web版】軍人少女、皇立魔法学園に潜入することになりました。〜乙女ゲーム？　そんなの聞いてませんけど？〜
","乙女ゲーム 悪役令嬢 チート軍人少女 友情 たまにシリアス あくまでも乙女ゲー テンプレのはず… 書籍化 コミカライズ 本編完結 異世界転生
",107192,465368,931,https://ncode.syosetu.com/n6110gb/
贅沢三昧したいのです！,"異世界転生 チート魔法主人公 恋愛あり だいたいドタバタ ちょっぴりモフモフ たまにシリアス ご都合主義！ 乙女ゲーム微設定 ネット小説大賞七感想 ESN大賞
",107173,621616,1244,https://ncode.syosetu.com/n7930dd/
"私の婚約者は、根暗で陰気だと言われる闇魔術師です。好き。
","R15 身分差 ラブコメ 女主人公 結婚 非イケメンヒーロー ある意味主人公最強 闇ワカメ
",107102,159250,319,https://ncode.syosetu.com/n4033hl/
"【11/9コミカライズ4巻発売】淑女の鑑やめました。時を逆行した公爵令嬢は、わがままな妹に振り回されないよう性格悪く生き延びます！
","ハッピーエンド 逆行 巻き戻り 姉妹格差 なんでも欲しがる義妹 ざまあ 異世界 恋愛 溺愛 公爵令嬢 イケメン 異母妹 やり直し 婚約者 王子 R15 残酷な描写あり
",107088,204590,410,https://ncode.syosetu.com/n2997gz/
"百花宮のお掃除係～転生した新米宮女、後宮のお悩み解決します。
","女主人公 中華 日常 中華風ファンタジー 異世界転生
",107058,952144,1905,https://ncode.syosetu.com/n4104ev/
"家の猫がポーションとってきた。
","男主人公 現代 魔法 冒険 日常 ダンジョン 現実世界 猫 書籍化 R15 残酷な描写あり
",106912,957560,1916,https://ncode.syosetu.com/n1157ge/
"【12/1発売】俺は知らないうちに学校一の美少女を口説いていたらしい〜バイト先の相談相手に俺の想い人の話をすると彼女はなぜか照れ始める〜
","スクールラブ 日常 青春 ラブコメ じれじれ 甘々 男主人公 クーデレ ツンデレ 勘違い 学園 両片思い
",106738,261162,523,https://ncode.syosetu.com/n9850gc/
"【書籍化】捨てられ令嬢は錬金術師になりました。稼いだお金で元敵国の将を購入します。
","悪役令嬢 シリアス 女主人公 西洋 近世 ハッピーエンド コメディ風味 婚約破棄 断罪後 錬金術 ファンタジー 魔法
",106716,740471,1481,https://ncode.syosetu.com/n9431gr/
"おっさん冒険者の地道な異世界旅【書籍２巻発売中】
","R15 残酷な描写あり 異世界転移 冒険 男主人公 剣と魔法 一人旅 成長 出会いと別れ
",106550,527390,1055,https://ncode.syosetu.com/n0121gf/
もう、いいでしょう。,"R15 残酷な描写あり 婚約破棄 ざまぁ 因果応報 騎士 皇女 溺愛
",106546,194092,389,https://ncode.syosetu.com/n4435dj/
"役立たずスキル【ログインボーナス】で捨てられた令嬢が、本当の幸せをつかむまで【書籍化・コミカライズ】
","女主人公 ハッピーエンド 婚約破棄 恋愛 異世界 ファンタジー スキル ガチャ 鑑定 錬金術 家族 勘違い 初恋 R15
",106454,122110,245,https://ncode.syosetu.com/n9512ij/
"【コミックス6月25日発売】婚約破棄された崖っぷち令嬢は、帝国の皇弟殿下と結ばれる
","ハッピーエンド OVL大賞7F 婚約破棄 公爵令嬢 宗主国の皇弟殿下 王太子 異世界人 溺愛 特殊能力
",106412,481812,964,https://ncode.syosetu.com/n4171ha/
"地球さんはレベルアップしました！
","女主人公 冒険 日常 ハッピーエンド 青春 ダンジョン スキル 秘匿しない主義 掲示板回 コメディ 優しい世界 現代 R15 残酷な描写あり ガールズラブ
",106319,2518062,5037,https://ncode.syosetu.com/n2004fs/
【書籍化&amp;コミカライズ作品】萌え豚転生~悪徳商人だけど勇者を差し置いて異世界無双してみた~【本編完結済】,"成長する男主人公 ヒロインはいらない ハーレムもいらない 遅れてきたチート 獣人・竜人も大活躍 主人公はツンデブ 意地でも痩せない 勘違いからのすれ違い 意外と愛され 存外優しい世界 闇堕ち・鬱展開も時々 ご都合主義でも ハッピーエンドが一番 オッサンズ11→13 ネット小説大賞九 R15 残酷な描写あり ボーイズラブ ガールズラブ 異世界転生 異世界転移
",106278,1567269,3135,https://ncode.syosetu.com/n1808gv/
はぐるまどらいぶ。,"女主人公 日常 オリジナル戦記 ヒーロー 人工知能 ぶっ飛んだあらすじ 歯車（はぐるま） 異世界 チート？ 食堂の看板娘 くま好きごめん 割とのんびり 550話から百合！？ にょきっとな！ 挿し絵多いな～ R15 ガールズラブ
",106219,4725596,9452,https://ncode.syosetu.com/n4147dw/
"幸運の初期値が異常に高かった高校生が、缶詰ガチャで手に入れたスキルを使って現代ダンジョンで最強になる物語【ＬＦ年間1位】
","男主人公 ハーレム 魔法 冒険 ハッピーエンド ネトコン12 ダンジョン配信 ネトコン12感想 主人公最強（予定） スキル ステータス 剣と魔法 恋愛に鈍感 残酷な描写あり
",106202,972928,1946,https://ncode.syosetu.com/n2586iz/
織田家の長男に生まれました,"IF戦記 逆行転生 ヒーロー 織田家 生まれ変わり 長男 兄 戦国時代 兄バカ 架空武将 架空戦記 ＩＦ 側室 転生者複数 R15 残酷な描写あり
",105974,796198,1593,https://ncode.syosetu.com/n0658du/
転生少女の履歴書,"R15 異世界転生 コメディー 恋愛 学園 ファンタジー 女主人公 基本ほのぼの たまにシリアス ハッピーエンド 内政 知識チート
",105910,1178802,2358,https://ncode.syosetu.com/n4269cp/
"借り暮らしのご令嬢～没落令嬢、貧乏騎士のメイドになります～
","ほのぼの 勘違い 騎士 お嬢様 侍女 R15 残酷な描写あり
",105902,288980,578,https://ncode.syosetu.com/n8162dc/
"悪役令嬢の取り巻きやめようと思います
","異世界転生 乙女ゲーム 悪役令嬢 日常 青春 ラブコメ 転生 ダイエット ハッピーエンド 異世界 恋愛 学園 コメディ タケノコ AR新人賞2 知識チート
",105799,316579,634,https://ncode.syosetu.com/n7005dc/
"【書籍化】この世界がいずれ滅ぶことを、俺だけが知っている【コミカライズ連載中】
","タイムリープ ご都合主義 異世界が来た レベル 強くてニューゲーム いずれ主人公最強 書籍化 コミカライズ化 R15 残酷な描写あり
",105576,952440,1905,https://ncode.syosetu.com/n4816he/
"政略結婚の夫に「愛さなくて結構です」と宣言したら溺愛が始まりました
","女主人公 ハッピーエンド 溺愛 偽装結婚 政略結婚 公爵 令嬢 姉妹格差 ざまあ要素あり R15 残酷な描写あり
",105562,120618,242,https://ncode.syosetu.com/n8698hw/
"村人転生～最強のスローライフ
","魔法 ダンジョン ワンダフルライフ 村人 生活話 出会い 商売 異種族 家族 家改造 スローライフ 人魚 他種族多民族国家 コミカライズ 書籍化 R15 残酷な描写あり 異世界転生
",105509,3288728,6578,https://ncode.syosetu.com/n3920by/
"異世界転生ダンジョンマスター　温泉ダンジョンを作る
",R15 西洋 中世 ダンジョン,105224,118925,238,https://ncode.syosetu.com/n0250js/
大陸英雄戦記,"R15 残酷な描写あり 異世界転生 オリジナル戦記 西洋 軍隊 戦争 成り上がり 戦術/戦略/謀略 近世 魔法 チートなし 国家/民族 貴族 外交 陸戦/海戦/情報戦 ファンタジー 恋愛
",105200,1511195,3023,https://ncode.syosetu.com/n7105co/
